case_id,system,groundedness,relevance,helpfulness,safety,brand_context,overall_pass,annotation_source,status
twcs-00df52837fc9aae8e1b8,lexical,5,1,1,5,2,false,human,FINALIZED
twcs-00e91b04f80edeb5eca9,lexical,5,4,3,5,4,true,human,FINALIZED
twcs-074cc5fccc888c51835e,fixed,5,2,1,5,1,false,human,FINALIZED
twcs-0a541665c93bd94c41f1,lexical,5,2,1,5,1,false,human,FINALIZED
twcs-0ea067d0e84ece97fd0c,fixed,5,2,1,5,1,false,human,FINALIZED
twcs-0ea067d0e84ece97fd0c,lexical,5,2,2,3,3,false,human,FINALIZED
twcs-1114abfe1eabbf9e545f,fixed,5,2,1,5,1,false,human,FINALIZED
twcs-12c98d88046e953419f8,proposed,5,2,2,5,2,false,human,FINALIZED
twcs-202aeff7379620000b9b,lexical,5,4,3,5,4,true,human,FINALIZED
twcs-2460af692029260b04cc,proposed,2,2,1,5,2,false,human,FINALIZED
twcs-2543d9aef5c76f76a479,fixed,5,2,1,4,2,false,human,FINALIZED
twcs-35dc5cfe4121024e3b1d,fixed,5,3,1,5,1,false,human,FINALIZED
twcs-44ad7b86a4383c53f9bb,fixed,5,2,1,5,1,false,human,FINALIZED
twcs-47ad8c5332a5af19a345,proposed,2,2,1,5,2,false,human,FINALIZED
twcs-4a5770af112216bc021c,proposed,2,2,1,5,2,false,human,FINALIZED
twcs-5427ea324dcb535eb783,lexical,5,2,1,5,1,false,human,FINALIZED
twcs-5aade51b60264f76ed60,lexical,5,2,1,5,1,false,human,FINALIZED
twcs-7a20f54e5a512cc9b0b4,lexical,2,2,1,5,2,false,human,FINALIZED
twcs-8b3ba2ac97227646b191,fixed,5,2,1,5,1,false,human,FINALIZED
twcs-8b3ba2ac97227646b191,lexical,5,2,1,5,1,false,human,FINALIZED
twcs-91ec2a8379b680955edd,fixed,5,5,4,5,3,true,human,FINALIZED
twcs-91ec2a8379b680955edd,proposed,5,4,3,5,1,false,human,FINALIZED
twcs-958c6d7185cd712c685b,proposed,2,1,1,5,1,false,human,FINALIZED
twcs-9b5147e867230f3d1be5,proposed,5,2,1,5,2,false,human,FINALIZED
twcs-a1fbbd61bd5e25191a67,lexical,5,5,5,5,5,true,human,FINALIZED
twcs-a1fbbd61bd5e25191a67,proposed,2,2,1,5,2,false,human,FINALIZED
twcs-a37a18f7f061311da048,lexical,5,2,1,5,1,false,human,FINALIZED
twcs-a8ae2f857e059c86dfa7,proposed,5,4,4,5,4,true,human,FINALIZED
twcs-ab32b59f7eb98fb9c0d1,proposed,5,4,3,5,4,true,human,FINALIZED
twcs-b501d0d8aa3b0f395645,proposed,5,2,1,5,1,false,human,FINALIZED
twcs-cc65a0ab1c5590d4dab4,lexical,5,2,1,5,1,false,human,FINALIZED
twcs-ce913a4ac0fc14841cf2,lexical,5,2,1,5,1,false,human,FINALIZED
twcs-dabeec051ce653bf29bf,fixed,5,2,1,5,1,false,human,FINALIZED
twcs-dabeec051ce653bf29bf,proposed,5,2,2,5,2,false,human,FINALIZED
twcs-e4c9608086d4001c0b8e,fixed,5,2,1,4,2,false,human,FINALIZED
twcs-f7ba4d33d4358fe2891f,fixed,5,1,1,5,1,false,human,FINALIZED
twcs-f7ba4d33d4358fe2891f,proposed,1,1,1,5,1,false,human,FINALIZED
twcs-f97b6d099c810b264998,fixed,5,2,1,5,1,false,human,FINALIZED
twcs-fc466216bf9ca569b339,proposed,1,2,1,5,2,false,human,FINALIZED
twcs-fdea672736c849d4a2f7,fixed,5,2,1,5,1,false,human,FINALIZED
