case_id,suggested_intent,intent_confidence,suggested_action,action_confidence,suggested_risk_tags,short_reason,uncertainty_flags,model_name,prompt_version,annotation_source
spotify-gold-candidate-046,library_playlist_or_saved_content,0.72,AUTO_HANDLE,0.78,,The visible request appears suitable for grounded public guidance without private account access or internal action.,,OpenAI Codex / deterministic taxonomy-risk rubric,spotify-provisional-v1,AI_PROVISIONAL
spotify-gold-candidate-235,UNSURE,0.35,ESCALATE,0.94,ACCOUNT_SPECIFIC|AMBIGUOUS,"Private, sensitive, policy-dependent, or ambiguous handling may be required; do not auto-handle without human confirmation.",INTENT_TIE|LOW_INTENT_CONFIDENCE|TAXONOMY_BOUNDARY,OpenAI Codex / deterministic taxonomy-risk rubric,spotify-provisional-v1,AI_PROVISIONAL
spotify-gold-candidate-082,UNSURE,0.35,ESCALATE,0.94,AMBIGUOUS,"Private, sensitive, policy-dependent, or ambiguous handling may be required; do not auto-handle without human confirmation.",INTENT_TIE|LOW_INTENT_CONFIDENCE|TAXONOMY_BOUNDARY,OpenAI Codex / deterministic taxonomy-risk rubric,spotify-provisional-v1,AI_PROVISIONAL
spotify-gold-candidate-163,UNSURE,0.35,ESCALATE,0.94,AMBIGUOUS|DEVICE_CONTEXT,"Private, sensitive, policy-dependent, or ambiguous handling may be required; do not auto-handle without human confirmation.",INTENT_TIE|LOW_INTENT_CONFIDENCE|TAXONOMY_BOUNDARY,OpenAI Codex / deterministic taxonomy-risk rubric,spotify-provisional-v1,AI_PROVISIONAL
spotify-gold-candidate-145,UNSURE,0.20,ESCALATE,0.94,AMBIGUOUS,"Private, sensitive, policy-dependent, or ambiguous handling may be required; do not auto-handle without human confirmation.",LOW_INTENT_CONFIDENCE|NO_TAXONOMY_SIGNAL,OpenAI Codex / deterministic taxonomy-risk rubric,spotify-provisional-v1,AI_PROVISIONAL
spotify-gold-candidate-190,UNSURE,0.20,ESCALATE,0.94,AMBIGUOUS,"Private, sensitive, policy-dependent, or ambiguous handling may be required; do not auto-handle without human confirmation.",LOW_INTENT_CONFIDENCE|NO_TAXONOMY_SIGNAL,OpenAI Codex / deterministic taxonomy-risk rubric,spotify-provisional-v1,AI_PROVISIONAL
spotify-gold-candidate-226,billing_or_payment,0.72,ESCALATE,0.82,,"Private, sensitive, policy-dependent, or ambiguous handling may be required; do not auto-handle without human confirmation.",,OpenAI Codex / deterministic taxonomy-risk rubric,spotify-provisional-v1,AI_PROVISIONAL
spotify-gold-candidate-154,playback_or_app_behavior,0.94,AUTO_HANDLE,0.78,,The visible request appears suitable for grounded public guidance without private account access or internal action.,,OpenAI Codex / deterministic taxonomy-risk rubric,spotify-provisional-v1,AI_PROVISIONAL
spotify-gold-candidate-100,UNSURE,0.35,ESCALATE,0.94,MULTI_INTENT|AMBIGUOUS,"Private, sensitive, policy-dependent, or ambiguous handling may be required; do not auto-handle without human confirmation.",INTENT_TIE|LOW_INTENT_CONFIDENCE|TAXONOMY_BOUNDARY,OpenAI Codex / deterministic taxonomy-risk rubric,spotify-provisional-v1,AI_PROVISIONAL
spotify-gold-candidate-109,UNSURE,0.35,ESCALATE,0.94,AMBIGUOUS,"Private, sensitive, policy-dependent, or ambiguous handling may be required; do not auto-handle without human confirmation.",INTENT_TIE|LOW_INTENT_CONFIDENCE|TAXONOMY_BOUNDARY,OpenAI Codex / deterministic taxonomy-risk rubric,spotify-provisional-v1,AI_PROVISIONAL
spotify-gold-candidate-199,library_playlist_or_saved_content,0.72,AUTO_HANDLE,0.78,,The visible request appears suitable for grounded public guidance without private account access or internal action.,,OpenAI Codex / deterministic taxonomy-risk rubric,spotify-provisional-v1,AI_PROVISIONAL
spotify-gold-candidate-208,content_availability_or_metadata,0.72,AUTO_HANDLE,0.78,,The visible request appears suitable for grounded public guidance without private account access or internal action.,,OpenAI Codex / deterministic taxonomy-risk rubric,spotify-provisional-v1,AI_PROVISIONAL
spotify-gold-candidate-217,UNSURE,0.35,ESCALATE,0.94,AMBIGUOUS,"Private, sensitive, policy-dependent, or ambiguous handling may be required; do not auto-handle without human confirmation.",INTENT_TIE|LOW_INTENT_CONFIDENCE|TAXONOMY_BOUNDARY,OpenAI Codex / deterministic taxonomy-risk rubric,spotify-provisional-v1,AI_PROVISIONAL
spotify-gold-candidate-064,UNSURE,0.35,ESCALATE,0.94,AMBIGUOUS|DEVICE_CONTEXT,"Private, sensitive, policy-dependent, or ambiguous handling may be required; do not auto-handle without human confirmation.",INTENT_TIE|LOW_INTENT_CONFIDENCE|TAXONOMY_BOUNDARY,OpenAI Codex / deterministic taxonomy-risk rubric,spotify-provisional-v1,AI_PROVISIONAL
spotify-gold-candidate-181,UNSURE,0.35,ESCALATE,0.94,AMBIGUOUS,"Private, sensitive, policy-dependent, or ambiguous handling may be required; do not auto-handle without human confirmation.",INTENT_TIE|LOW_INTENT_CONFIDENCE|TAXONOMY_BOUNDARY,OpenAI Codex / deterministic taxonomy-risk rubric,spotify-provisional-v1,AI_PROVISIONAL
spotify-gold-candidate-001,UNSURE,0.35,ESCALATE,0.94,MULTI_INTENT|AMBIGUOUS|DEVICE_CONTEXT,"Private, sensitive, policy-dependent, or ambiguous handling may be required; do not auto-handle without human confirmation.",INTENT_TIE|LOW_INTENT_CONFIDENCE|TAXONOMY_BOUNDARY,OpenAI Codex / deterministic taxonomy-risk rubric,spotify-provisional-v1,AI_PROVISIONAL
spotify-gold-candidate-091,playback_or_app_behavior,0.72,AUTO_HANDLE,0.78,,The visible request appears suitable for grounded public guidance without private account access or internal action.,,OpenAI Codex / deterministic taxonomy-risk rubric,spotify-provisional-v1,AI_PROVISIONAL
spotify-gold-candidate-073,UNSURE,0.35,ESCALATE,0.94,AMBIGUOUS|DEVICE_CONTEXT,"Private, sensitive, policy-dependent, or ambiguous handling may be required; do not auto-handle without human confirmation.",INTENT_TIE|LOW_INTENT_CONFIDENCE|TAXONOMY_BOUNDARY,OpenAI Codex / deterministic taxonomy-risk rubric,spotify-provisional-v1,AI_PROVISIONAL
spotify-gold-candidate-146,UNSURE,0.20,ESCALATE,0.94,AMBIGUOUS,"Private, sensitive, policy-dependent, or ambiguous handling may be required; do not auto-handle without human confirmation.",LOW_INTENT_CONFIDENCE|NO_TAXONOMY_SIGNAL,OpenAI Codex / deterministic taxonomy-risk rubric,spotify-provisional-v1,AI_PROVISIONAL
spotify-gold-candidate-137,device_or_connectivity,0.90,AUTO_HANDLE,0.78,DEVICE_CONTEXT,The visible request appears suitable for grounded public guidance without private account access or internal action.,,OpenAI Codex / deterministic taxonomy-risk rubric,spotify-provisional-v1,AI_PROVISIONAL
spotify-gold-candidate-173,device_or_connectivity,0.72,AUTO_HANDLE,0.78,DEVICE_CONTEXT,The visible request appears suitable for grounded public guidance without private account access or internal action.,,OpenAI Codex / deterministic taxonomy-risk rubric,spotify-provisional-v1,AI_PROVISIONAL
spotify-gold-candidate-236,device_or_connectivity,0.72,AUTO_HANDLE,0.78,DEVICE_CONTEXT,The visible request appears suitable for grounded public guidance without private account access or internal action.,,OpenAI Codex / deterministic taxonomy-risk rubric,spotify-provisional-v1,AI_PROVISIONAL
spotify-gold-candidate-038,content_availability_or_metadata,0.72,AUTO_HANDLE,0.78,,The visible request appears suitable for grounded public guidance without private account access or internal action.,,OpenAI Codex / deterministic taxonomy-risk rubric,spotify-provisional-v1,AI_PROVISIONAL
spotify-gold-candidate-218,device_or_connectivity,0.72,AUTO_HANDLE,0.78,DEVICE_CONTEXT,The visible request appears suitable for grounded public guidance without private account access or internal action.,,OpenAI Codex / deterministic taxonomy-risk rubric,spotify-provisional-v1,AI_PROVISIONAL
spotify-gold-candidate-011,device_or_connectivity,0.72,AUTO_HANDLE,0.78,,The visible request appears suitable for grounded public guidance without private account access or internal action.,,OpenAI Codex / deterministic taxonomy-risk rubric,spotify-provisional-v1,AI_PROVISIONAL
spotify-gold-candidate-083,device_or_connectivity,0.72,AUTO_HANDLE,0.78,DEVICE_CONTEXT,The visible request appears suitable for grounded public guidance without private account access or internal action.,,OpenAI Codex / deterministic taxonomy-risk rubric,spotify-provisional-v1,AI_PROVISIONAL
spotify-gold-candidate-191,UNSURE,0.35,ESCALATE,0.94,ACCOUNT_SPECIFIC|AMBIGUOUS,"Private, sensitive, policy-dependent, or ambiguous handling may be required; do not auto-handle without human confirmation.",INTENT_TIE|LOW_INTENT_CONFIDENCE|TAXONOMY_BOUNDARY,OpenAI Codex / deterministic taxonomy-risk rubric,spotify-provisional-v1,AI_PROVISIONAL
spotify-gold-candidate-164,device_or_connectivity,0.90,AUTO_HANDLE,0.78,DEVICE_CONTEXT,The visible request appears suitable for grounded public guidance without private account access or internal action.,,OpenAI Codex / deterministic taxonomy-risk rubric,spotify-provisional-v1,AI_PROVISIONAL
spotify-gold-candidate-200,UNSURE,0.20,ESCALATE,0.94,AMBIGUOUS,"Private, sensitive, policy-dependent, or ambiguous handling may be required; do not auto-handle without human confirmation.",LOW_INTENT_CONFIDENCE|NO_TAXONOMY_SIGNAL,OpenAI Codex / deterministic taxonomy-risk rubric,spotify-provisional-v1,AI_PROVISIONAL
spotify-gold-candidate-074,device_or_connectivity,0.84,ESCALATE,0.94,ACCOUNT_SPECIFIC|PRIVATE_LOOKUP|MULTI_INTENT|DEVICE_CONTEXT,"Private, sensitive, policy-dependent, or ambiguous handling may be required; do not auto-handle without human confirmation.",MULTI_INTENT_SIGNAL|TAXONOMY_BOUNDARY,OpenAI Codex / deterministic taxonomy-risk rubric,spotify-provisional-v1,AI_PROVISIONAL
spotify-gold-candidate-065,device_or_connectivity,0.72,ESCALATE,0.94,SECURITY|DEVICE_CONTEXT,"Private, sensitive, policy-dependent, or ambiguous handling may be required; do not auto-handle without human confirmation.",,OpenAI Codex / deterministic taxonomy-risk rubric,spotify-provisional-v1,AI_PROVISIONAL
spotify-gold-candidate-101,device_or_connectivity,0.90,AUTO_HANDLE,0.78,DEVICE_CONTEXT,The visible request appears suitable for grounded public guidance without private account access or internal action.,,OpenAI Codex / deterministic taxonomy-risk rubric,spotify-provisional-v1,AI_PROVISIONAL
spotify-gold-candidate-047,feature_request_or_product_feedback,0.72,AUTO_HANDLE,0.78,,The visible request appears suitable for grounded public guidance without private account access or internal action.,,OpenAI Codex / deterministic taxonomy-risk rubric,spotify-provisional-v1,AI_PROVISIONAL
spotify-gold-candidate-020,device_or_connectivity,0.72,AUTO_HANDLE,0.78,,The visible request appears suitable for grounded public guidance without private account access or internal action.,,OpenAI Codex / deterministic taxonomy-risk rubric,spotify-provisional-v1,AI_PROVISIONAL
spotify-gold-candidate-092,device_or_connectivity,0.94,AUTO_HANDLE,0.78,DEVICE_CONTEXT,The visible request appears suitable for grounded public guidance without private account access or internal action.,MULTI_INTENT_SIGNAL,OpenAI Codex / deterministic taxonomy-risk rubric,spotify-provisional-v1,AI_PROVISIONAL
spotify-gold-candidate-056,UNSURE,0.35,ESCALATE,0.94,ACCOUNT_SPECIFIC|PRIVATE_LOOKUP|AMBIGUOUS,"Private, sensitive, policy-dependent, or ambiguous handling may be required; do not auto-handle without human confirmation.",INTENT_TIE|LOW_INTENT_CONFIDENCE|TAXONOMY_BOUNDARY,OpenAI Codex / deterministic taxonomy-risk rubric,spotify-provisional-v1,AI_PROVISIONAL
spotify-gold-candidate-165,UNSURE,0.35,ESCALATE,0.94,AMBIGUOUS,"Private, sensitive, policy-dependent, or ambiguous handling may be required; do not auto-handle without human confirmation.",INTENT_TIE|LOW_INTENT_CONFIDENCE|TAXONOMY_BOUNDARY,OpenAI Codex / deterministic taxonomy-risk rubric,spotify-provisional-v1,AI_PROVISIONAL
spotify-gold-candidate-156,UNSURE,0.35,ESCALATE,0.94,PAYMENT|MULTI_INTENT|AMBIGUOUS,"Private, sensitive, policy-dependent, or ambiguous handling may be required; do not auto-handle without human confirmation.",INTENT_TIE|LOW_INTENT_CONFIDENCE|TAXONOMY_BOUNDARY,OpenAI Codex / deterministic taxonomy-risk rubric,spotify-provisional-v1,AI_PROVISIONAL
spotify-gold-candidate-120,account_access_or_security,0.84,ESCALATE,0.94,ACCOUNT_SPECIFIC,"Private, sensitive, policy-dependent, or ambiguous handling may be required; do not auto-handle without human confirmation.",MULTI_INTENT_SIGNAL|TAXONOMY_BOUNDARY,OpenAI Codex / deterministic taxonomy-risk rubric,spotify-provisional-v1,AI_PROVISIONAL
