brand,thread_id,root_tweet_id,sample_category,representative_tweet_id,historical_reply_value,publicly_actionable,private_lookup_required,template_like,multi_turn_usefulness,reviewer_note
AmazonHelp,twcs-fe25d01afb931f74291e,2960505,multi_turn,2960500,LOW,NO,YES,NO,MEDIUM,private case handoff
AmazonHelp,twcs-0e83d4faf4fd81b68cd8,1573584,multi_turn,1573582,LOW,NO,YES,YES,LOW,repeat private handoff
AmazonHelp,twcs-8b1aff963f9a3f5ae615,1664816,multi_turn,1664813,HIGH,YES,NO,NO,HIGH,public follow-up answer
AmazonHelp,twcs-405a2cd61f8d652d4e63,2719452,multi_turn,2719450,MEDIUM,YES,NO,NO,MEDIUM,public product information
AmazonHelp,twcs-dda78a25748fc044418a,789017,multi_turn,789011,LOW,NO,YES,NO,MEDIUM,security concern private handoff
AmazonHelp,twcs-741061e0559490f77d18,279030,multi_turn,279029,LOW,NO,YES,YES,LOW,contact channel redirect
AmazonHelp,twcs-bb697a7836da8a6bac80,2317666,multi_turn,2317664,MEDIUM,PARTIAL,YES,NO,MEDIUM,acknowledgement after contact
AmazonHelp,twcs-ef15bedfdbb348a97ed5,2410445,multi_turn,2410438,MEDIUM,YES,NO,NO,HIGH,stepwise public triage
AmazonHelp,twcs-385f63f2fecab840e852,292307,multi_turn,292305,LOW,PARTIAL,YES,NO,MEDIUM,limited public triage
AmazonHelp,twcs-1e2ca2b96bb3ed719071,1386174,multi_turn,1386172,LOW,NO,YES,YES,LOW,private account handoff
AmazonHelp,twcs-4b1d14a0a9fac461e27e,2397253,high_public_containment,2397252,HIGH,YES,NO,NO,MEDIUM,public cancellation steps
AmazonHelp,twcs-b58f4bd70bea88d412ec,2907887,high_public_containment,2907885,MEDIUM,PARTIAL,YES,NO,MEDIUM,public prevention then handoff
AmazonHelp,twcs-fa5d84201433362c628e,60259,high_public_containment,60255,HIGH,YES,NO,NO,HIGH,public refund options
AmazonHelp,twcs-35a0f180734016a305dd,2405242,high_public_containment,2405241,LOW,PARTIAL,YES,YES,MEDIUM,private status response
AmazonHelp,twcs-c71279037119792457f3,1551613,high_public_containment,1551612,HIGH,YES,NO,NO,LOW,public cancellation guidance
AmazonHelp,twcs-d739aa4364dcee73a776,2952359,high_public_containment,2952357,HIGH,YES,NO,NO,MEDIUM,public payment answer
AmazonHelp,twcs-0cb71266f1e5698f1be9,2617285,high_public_containment,2617283,MEDIUM,PARTIAL,YES,NO,MEDIUM,public information request
AmazonHelp,twcs-23247e179cbfa935dc7f,917033,high_public_containment,917032,LOW,NO,NO,YES,LOW,marketing exchange
AmazonHelp,twcs-f13849e9bdaa2dacd9b2,2784546,high_public_containment,2784545,HIGH,YES,NO,NO,MEDIUM,public password steps
AmazonHelp,twcs-3dd9a8fbdffa482a14ca,2917215,high_public_containment,2917206,MEDIUM,PARTIAL,YES,NO,HIGH,public dialogue ends private
AmazonHelp,twcs-8c3ddc13d2156f435a55,176440,generic_redirect,176439,MEDIUM,YES,NO,NO,LOW,public shipping policy
AmazonHelp,twcs-51431e8b1eb4abe011b7,1357701,generic_redirect,1357700,LOW,NO,YES,YES,LOW,refund form handoff
AmazonHelp,twcs-c13db0feaf813151da74,439812,generic_redirect,439803,LOW,NO,YES,YES,HIGH,repeat private escalation
AmazonHelp,twcs-479334627e246002edfe,2978195,generic_redirect,2978193,MEDIUM,YES,NO,NO,MEDIUM,public seller guidance
AmazonHelp,twcs-eda8eedbdf51dc544c6d,2829429,generic_redirect,2829428,LOW,NO,YES,YES,LOW,private delivery handoff
AmazonHelp,twcs-5cfd345ad4d53d2fdeff,2061313,generic_redirect,2061314,LOW,PARTIAL,YES,NO,MEDIUM,limited troubleshooting
AmazonHelp,twcs-c517c833c63da0599539,223904,generic_redirect,223902,LOW,NO,YES,YES,MEDIUM,form selection handoff
AmazonHelp,twcs-5ee64ca1eb173a248eea,1030386,generic_redirect,1030380,LOW,NO,YES,YES,MEDIUM,private delivery handoff
AmazonHelp,twcs-d861db6d2e8b1f5e4eda,1743695,generic_redirect,1743693,MEDIUM,YES,NO,NO,HIGH,public tracking triage
AmazonHelp,twcs-71af3fc805c19d523e71,1543581,generic_redirect,1543580,LOW,NO,YES,YES,LOW,private support redirect
AmazonHelp,twcs-d01f875b98de64379903,838294,repeated_template,838292,LOW,NO,YES,YES,HIGH,repeat private form
AmazonHelp,twcs-91ef85c91ef8ccaff8c0,859605,repeated_template,859602,LOW,NO,YES,YES,HIGH,repeat private form
AmazonHelp,twcs-9abfaed48361c8392d80,789233,repeated_template,789234,LOW,NO,YES,YES,MEDIUM,security case form
AmazonHelp,twcs-cd4cd38e25da9e66d10f,348231,repeated_template,348236,LOW,NO,YES,YES,MEDIUM,repeat private form
AmazonHelp,twcs-c54afa08ae947136673b,2398926,repeated_template,2398922,LOW,NO,YES,YES,MEDIUM,repeat private form
AmazonHelp,twcs-64a052e5c941fdf95f31,291749,repeated_template,291748,LOW,NO,YES,YES,LOW,repeat private form
AmazonHelp,twcs-52340b82ca49975d84a5,925330,repeated_template,925329,LOW,NO,YES,YES,LOW,repeat private form
AmazonHelp,twcs-ae342d8b0211a09f4c89,865701,repeated_template,865702,LOW,NO,YES,YES,HIGH,repeat private form
AmazonHelp,twcs-e2c6d8113af118640997,1907483,repeated_template,1907481,LOW,NO,YES,YES,MEDIUM,repeat private form
AmazonHelp,twcs-80f115330757098d0741,390762,repeated_template,390761,LOW,NO,YES,YES,LOW,repeat private form
SpotifyCares,twcs-15af41745453cd917be5,2095022,multi_turn,2095020,MEDIUM,PARTIAL,YES,NO,MEDIUM,account recovery handoff
SpotifyCares,twcs-f2d90ba666af186bb333,2131406,multi_turn,2131404,HIGH,YES,NO,NO,HIGH,public diagnostic exchange
SpotifyCares,twcs-5b680d2d975002e4c41a,496124,multi_turn,496120,HIGH,PARTIAL,YES,NO,HIGH,public steps then account handoff
SpotifyCares,twcs-52257128f9e1583909de,2639876,multi_turn,2639873,MEDIUM,YES,NO,NO,MEDIUM,feature feedback routing
SpotifyCares,twcs-ed4fdae47f72ac9122a7,1125896,multi_turn,1125885,HIGH,PARTIAL,YES,NO,HIGH,iterative public troubleshooting
SpotifyCares,twcs-0aa22de1dc764dda16e0,1012742,multi_turn,1012739,MEDIUM,YES,NO,NO,MEDIUM,feature request explanation
SpotifyCares,twcs-3662472c0afbd9e1bff6,869983,multi_turn,869970,HIGH,PARTIAL,YES,NO,HIGH,iterative public troubleshooting
SpotifyCares,twcs-a8aa1a18268e7e4215b9,262666,multi_turn,262664,MEDIUM,YES,NO,NO,MEDIUM,public diagnostic questions
SpotifyCares,twcs-01c06f670f172dcdf1d0,2293429,multi_turn,2293428,MEDIUM,YES,NO,NO,LOW,feature workaround information
SpotifyCares,twcs-3961620081f7718e7492,2070899,multi_turn,2070896,MEDIUM,YES,NO,NO,MEDIUM,public product feedback
SpotifyCares,twcs-2663fa016880694e935e,607498,high_public_containment,607494,HIGH,YES,NO,NO,HIGH,public browser diagnosis
SpotifyCares,twcs-a61b2e4243082b5995b0,2541839,high_public_containment,2541837,HIGH,YES,NO,NO,HIGH,public diagnostic sequence
SpotifyCares,twcs-64a3b807183759ac86b0,2917841,high_public_containment,2917840,HIGH,YES,NO,NO,LOW,public incident status
SpotifyCares,twcs-22243590abf60c5f7689,1875238,high_public_containment,1875237,LOW,NO,YES,YES,LOW,private account handoff
SpotifyCares,twcs-f42a1507c3649fad0081,2917965,high_public_containment,2917964,LOW,NO,YES,YES,LOW,private incident handoff
