case_id,thread_id,taxonomy_version,sampling_version,split_version,gold_intent,gold_action,gold_action_reason,difficulty,risk_tags,annotation_notes,annotator,reviewed_at,annotation_source,status
spotify-gold-candidate-001,twcs-74dd296942104a7177ea,spotify-intents-v1,spotify-golden-candidates-v1,spotify-temporal-v1,feature_request_or_product_feedback,AUTO_HANDLE,"They’re asking how Discover Weekly recommendations work and how to improve them, which can be answered with general product guidance.",MEDIUM,,,candidate,2026-09-19T13:19:22.321878+00:00,human,FINALIZED
spotify-gold-candidate-003,twcs-80599a8895e776c2c1a6,spotify-intents-v1,spotify-golden-candidates-v1,spotify-temporal-v1,account_access_or_security,ESCALATE,"Someone else appears to be using the account, so it needs an account security check.",HARD,ACCOUNT_SPECIFIC|SECURITY,,candidate,2026-09-19T13:41:19.932272+00:00,human,FINALIZED
spotify-gold-candidate-004,twcs-3a17b8b82582e480101c,spotify-intents-v1,spotify-golden-candidates-v1,spotify-temporal-v1,subscription_or_plan,AUTO_HANDLE,This is mainly a question about the Family plan’s same-address rule and whether Spotify plans to change it.,EASY,POLICY_SENSITIVE,,candidate,2026-09-19T13:48:23.128740+00:00,human,FINALIZED
spotify-gold-candidate-007,twcs-f1005cc4520a953f37fb,spotify-intents-v1,spotify-golden-candidates-v1,spotify-temporal-v1,feature_request_or_product_feedback,AUTO_HANDLE,"The suggested songs don’t match what they’re listening to, so this is mainly a recommendation quality issue.",EASY,,,candidate,2026-09-19T14:16:31.838103+00:00,human,FINALIZED
spotify-gold-candidate-008,twcs-9686a2e3c6746d660a17,spotify-intents-v1,spotify-golden-candidates-v1,spotify-temporal-v1,feature_request_or_product_feedback,AUTO_HANDLE,Showing how many times I’ve listened to a song would be a useful feature for managing playlists.,EASY,,,candidate,2026-09-19T14:27:36.783311+00:00,human,FINALIZED
spotify-gold-candidate-011,twcs-5dcddcb6c027b8566b5f,spotify-intents-v1,spotify-golden-candidates-v1,spotify-temporal-v1,playback_or_app_behavior,AUTO_HANDLE,"Search suddenly stopped working on iPhone on both Wi-Fi and mobile data, so it looks like an app issue that can be handled with normal troubleshooting.",EASY,DEVICE_CONTEXT,,candidate,2026-09-19T13:24:51.548672+00:00,human,FINALIZED
spotify-gold-candidate-013,twcs-9d59e58d848307f3177e,spotify-intents-v1,spotify-golden-candidates-v1,spotify-temporal-v1,subscription_or_plan,ESCALATE,"Payment has gone through but Premium still isn’t working, so the subscription status probably needs to be checked.",MEDIUM,ACCOUNT_SPECIFIC|PAYMENT,,candidate,2026-09-19T13:51:12.331716+00:00,human,FINALIZED
spotify-gold-candidate-016,twcs-6237b39819ff1d9f3f62,spotify-intents-v1,spotify-golden-candidates-v1,spotify-temporal-v1,content_availability_or_metadata,AUTO_HANDLE,"The new releases were missing for a while but eventually appeared, so this looks like a catalog availability delay.",EASY,,,candidate,2026-09-19T14:15:34.687360+00:00,human,FINALIZED
spotify-gold-candidate-018,twcs-16b66a41f4c60f563aba,spotify-intents-v1,spotify-golden-candidates-v1,spotify-temporal-v1,feature_request_or_product_feedback,AUTO_HANDLE,I’m just asking if Spotify will bring back a personal year-in-music recap for 2017.,EASY,,,candidate,2026-09-19T14:35:01.641817+00:00,human,FINALIZED
spotify-gold-candidate-020,twcs-3832f1e172c95e4f4d29,spotify-intents-v1,spotify-golden-candidates-v1,spotify-temporal-v1,playback_or_app_behavior,AUTO_HANDLE,"Search and browsing are failing across multiple devices and networks, so I’d start with normal Spotify troubleshooting.",EASY,,,candidate,2026-09-19T13:30:20.479639+00:00,human,FINALIZED
spotify-gold-candidate-021,twcs-2d6e39359c4b6491a6ae,spotify-intents-v1,spotify-golden-candidates-v1,spotify-temporal-v1,account_access_or_security,ESCALATE,"They can’t log in and the password reset isn’t working, so the account may need to be checked directly.",MEDIUM,ACCOUNT_SPECIFIC,,candidate,2026-09-19T13:34:54.255446+00:00,human,FINALIZED
spotify-gold-candidate-022,twcs-acaeff6320021eb8be7a,spotify-intents-v1,spotify-golden-candidates-v1,spotify-temporal-v1,feature_request_or_product_feedback,AUTO_HANDLE,"They’re asking Spotify to increase the Premium download limit, so this is product feedback about the current service policy.",EASY,POLICY_SENSITIVE,,candidate,2026-09-19T13:42:54.352733+00:00,human,FINALIZED
spotify-gold-candidate-023,twcs-f13e487da89195530dd3,spotify-intents-v1,spotify-golden-candidates-v1,spotify-temporal-v1,billing_or_payment,ESCALATE,"The account was charged twice for the wrong plan, so billing needs to check what happened and fix it.",MEDIUM,ACCOUNT_SPECIFIC|PAYMENT|MULTI_INTENT,,candidate,2026-09-19T14:02:29.781554+00:00,human,FINALIZED
spotify-gold-candidate-026,twcs-969fa8b9f1b070e4821e,spotify-intents-v1,spotify-golden-candidates-v1,spotify-temporal-v1,account_access_or_security,AUTO_HANDLE,"The tablet login is being blocked as an unrecognized browser, so I’d start with normal account and device login troubleshooting.",EASY,ACCOUNT_SPECIFIC|DEVICE_CONTEXT,,candidate,2026-09-19T14:21:50.063591+00:00,human,FINALIZED
spotify-gold-candidate-027,twcs-1907bde60f49cc473f3b,spotify-intents-v1,spotify-golden-candidates-v1,spotify-temporal-v1,feature_request_or_product_feedback,AUTO_HANDLE,Split-screen support on iPad would make the app easier to use alongside other apps.,EASY,DEVICE_CONTEXT,,candidate,2026-09-19T14:31:16.383577+00:00,human,FINALIZED
spotify-gold-candidate-030,twcs-52e02e3eb4aad3350055,spotify-intents-v1,spotify-golden-candidates-v1,spotify-temporal-v1,subscription_or_plan,AUTO_HANDLE,"They’re having an issue with the student discount, so I’d start with normal student-plan support and ask for more details if needed.",EASY,LOW_CONTEXT,,candidate,2026-09-19T13:38:01.099276+00:00,human,FINALIZED
spotify-gold-candidate-031,twcs-c4105469de90e9f860b6,spotify-intents-v1,spotify-golden-candidates-v1,spotify-temporal-v1,feature_request_or_product_feedback,AUTO_HANDLE,This is a feature and policy request about buying gift subscriptions for someone in another country.,EASY,POLICY_SENSITIVE,,candidate,2026-09-19T13:49:27.931327+00:00,human,FINALIZED
spotify-gold-candidate-032,twcs-c130e8515dcb41eb815d,spotify-intents-v1,spotify-golden-candidates-v1,spotify-temporal-v1,billing_or_payment,ESCALATE,"This looks like an unauthorized charge linked to someone else’s account, so billing needs to investigate it directly.",HARD,ACCOUNT_SPECIFIC|PAYMENT|SECURITY,,candidate,2026-09-19T13:57:24.338992+00:00,human,FINALIZED
spotify-gold-candidate-033,twcs-c06f65e9e9b0f3a06f0c,spotify-intents-v1,spotify-golden-candidates-v1,spotify-temporal-v1,playback_or_app_behavior,AUTO_HANDLE,"Spotify is slow and multiple features aren’t loading, so I’d start with normal app or service troubleshooting.",EASY,,,candidate,2026-09-19T14:09:40.746120+00:00,human,FINALIZED
spotify-gold-candidate-034,twcs-86abf490736e040764a0,spotify-intents-v1,spotify-golden-candidates-v1,spotify-temporal-v1,feature_request_or_product_feedback,ESCALATE,"This is about getting an artist request approved so they can upload music, which probably needs account-specific help.",MEDIUM,ACCOUNT_SPECIFIC,,candidate,2026-09-19T14:13:09.965209+00:00,human,FINALIZED
spotify-gold-candidate-035,twcs-521f749cdd2180c490dd,spotify-intents-v1,spotify-golden-candidates-v1,spotify-temporal-v1,feature_request_or_product_feedback,AUTO_HANDLE,It would be nice to send songs directly to other Spotify users again without using another app.,EASY,,,candidate,2026-09-19T14:24:48.057633+00:00,human,FINALIZED
spotify-gold-candidate-036,twcs-037ad33c5b66d2a0115e,spotify-intents-v1,spotify-golden-candidates-v1,spotify-temporal-v1,content_availability_or_metadata,AUTO_HANDLE,"I’m looking for Tool on Spotify and can’t find their music, so this looks like a catalog availability issue.",EASY,,,candidate,2026-09-19T14:35:31.984676+00:00,human,FINALIZED
spotify-gold-candidate-038,twcs-e2c58cc6634b77333d06,spotify-intents-v1,spotify-golden-candidates-v1,spotify-temporal-v1,feature_request_or_product_feedback,AUTO_HANDLE,"They are requesting future product features, which can be handled with standard feature-feedback guidance.",EASY,MULTI_INTENT,,candidate,2026-09-19T13:23:34.561615+00:00,human,FINALIZED
spotify-gold-candidate-040,twcs-2639adf9a139073df6c9,spotify-intents-v1,spotify-golden-candidates-v1,spotify-temporal-v1,subscription_or_plan,ESCALATE,"Joining the Family plan keeps failing, so the account may need to be checked.",MEDIUM,ACCOUNT_SPECIFIC,,candidate,2026-09-19T13:51:43.586381+00:00,human,FINALIZED
spotify-gold-candidate-041,twcs-ca5dcae9b0c6242a6310,spotify-intents-v1,spotify-golden-candidates-v1,spotify-temporal-v1,billing_or_payment,AUTO_HANDLE,They just want to know if debit cards are accepted and how to pay with one.,EASY,PAYMENT,,candidate,2026-09-19T13:55:08.579994+00:00,human,FINALIZED
spotify-gold-candidate-042,twcs-9c1d76003f8a2114a49a,spotify-intents-v1,spotify-golden-candidates-v1,spotify-temporal-v1,feature_request_or_product_feedback,AUTO_HANDLE,"The download counter is misleading because it shows more songs than Spotify actually allows, so this looks like a UI issue.",EASY,,,candidate,2026-09-19T14:08:33.978788+00:00,human,FINALIZED
spotify-gold-candidate-044,twcs-04d061c01e2d86158167,spotify-intents-v1,spotify-golden-candidates-v1,spotify-temporal-v1,feature_request_or_product_feedback,AUTO_HANDLE,It would be much easier to remove songs from large playlists if search worked while editing.,EASY,,,candidate,2026-09-19T14:29:18.257862+00:00,human,FINALIZED
spotify-gold-candidate-046,twcs-524c1b5b3b88584539d6,spotify-intents-v1,spotify-golden-candidates-v1,spotify-temporal-v1,device_or_connectivity,AUTO_HANDLE,Catalog availability question; safe to answer using standard Spotify support guidance,EASY,PAYMENT,,candidate,2026-09-19T12:44:47.105492+00:00,human,FINALIZED
spotify-gold-candidate-047,twcs-5255cb0ad99f5bb848e5,spotify-intents-v1,spotify-golden-candidates-v1,spotify-temporal-v1,playback_or_app_behavior,AUTO_HANDLE,"Spotify seems to reinstall or update every time it opens on the PC, so I’d start with normal app troubleshooting.",EASY,DEVICE_CONTEXT,,candidate,2026-09-19T13:29:51.241463+00:00,human,FINALIZED
spotify-gold-candidate-048,twcs-d616677c17354f00dba3,spotify-intents-v1,spotify-golden-candidates-v1,spotify-temporal-v1,account_access_or_security,AUTO_HANDLE,"They can’t log in to their account, so I’d start with standard account-access troubleshooting.",EASY,ACCOUNT_SPECIFIC|LOW_CONTEXT,,candidate,2026-09-19T13:33:45.288105+00:00,human,FINALIZED
spotify-gold-candidate-049,twcs-49f54245e9902a0a434d,spotify-intents-v1,spotify-golden-candidates-v1,spotify-temporal-v1,subscription_or_plan,AUTO_HANDLE,They just want to know if their current Premium plan is eligible for the yearly offer.,EASY,POLICY_SENSITIVE,,candidate,2026-09-19T13:46:34.706759+00:00,human,FINALIZED
spotify-gold-candidate-051,twcs-c8b76f5d6066bcbc991d,spotify-intents-v1,spotify-golden-candidates-v1,spotify-temporal-v1,feature_request_or_product_feedback,AUTO_HANDLE,A confirmation before deleting a whole saved list would help prevent accidental removals.,EASY,,,candidate,2026-09-19T14:04:56.830773+00:00,human,FINALIZED
spotify-gold-candidate-052,twcs-df87b8b53880a2fe4e96,spotify-intents-v1,spotify-golden-candidates-v1,spotify-temporal-v1,feature_request_or_product_feedback,ESCALATE,"This is about offensive content on Spotify, so it probably needs a proper content or policy review.",HARD,POLICY_SENSITIVE,,candidate,2026-09-19T14:17:07.307935+00:00,human,FINALIZED
spotify-gold-candidate-056,twcs-2f815f414dfb3f4fd372,spotify-intents-v1,spotify-golden-candidates-v1,spotify-temporal-v1,account_access_or_security,ESCALATE,"The account was created through Facebook, so unlinking it while keeping Premium may need account-specific help.",MEDIUM,ACCOUNT_SPECIFIC,,candidate,2026-09-19T13:31:27.745877+00:00,human,FINALIZED
spotify-gold-candidate-058,twcs-af8a7b5883b2d3847f74,spotify-intents-v1,spotify-golden-candidates-v1,spotify-temporal-v1,feature_request_or_product_feedback,ESCALATE,"They expected a presale code but never got one, so someone may need to check if their account was eligible.",MEDIUM,ACCOUNT_SPECIFIC,,candidate,2026-09-19T13:47:08.611404+00:00,human,FINALIZED
spotify-gold-candidate-059,twcs-8e7e78b4d5d477e2d12b,spotify-intents-v1,spotify-golden-candidates-v1,spotify-temporal-v1,playback_or_app_behavior,AUTO_HANDLE,"Spotify isn’t loading, so I’d start with normal app or service troubleshooting.",EASY,,,candidate,2026-09-19T13:54:16.260132+00:00,human,FINALIZED
spotify-gold-candidate-060,twcs-8315acd663aea649cb06,spotify-intents-v1,spotify-golden-candidates-v1,spotify-temporal-v1,feature_request_or_product_feedback,AUTO_HANDLE,This is a suggestion to add music purchases and maybe a merch store.,EASY,,,candidate,2026-09-19T14:11:28.251527+00:00,human,FINALIZED
spotify-gold-candidate-061,twcs-139d9db8444c23772e93,spotify-intents-v1,spotify-golden-candidates-v1,spotify-temporal-v1,content_availability_or_metadata,AUTO_HANDLE,They’re asking if a specific song will be available separately on Spotify when it’s released as a single.,EASY,,,candidate,2026-09-19T14:17:58.887479+00:00,human,FINALIZED
spotify-gold-candidate-062,twcs-a6c330dc49f14b4e1d3c,spotify-intents-v1,spotify-golden-candidates-v1,spotify-temporal-v1,feature_request_or_product_feedback,AUTO_HANDLE,"The new update feels confusing, so this is mostly feedback about the app design.",EASY,,,candidate,2026-09-19T14:26:41.446860+00:00,human,FINALIZED
spotify-gold-candidate-063,twcs-2314f947c8f82ef2fcae,spotify-intents-v1,spotify-golden-candidates-v1,spotify-temporal-v1,billing_or_payment,AUTO_HANDLE,"I already paid for this month, so I just want to know if the unused days will carry over to the yearly plan.",EASY,PAYMENT|POLICY_SENSITIVE,,candidate,2026-09-19T14:33:01.444881+00:00,human,FINALIZED
spotify-gold-candidate-064,twcs-eb857297a4fe7fcc8ace,spotify-intents-v1,spotify-golden-candidates-v1,spotify-temporal-v1,playback_or_app_behavior,ESCALATE,"Spotify is causing full Mac crashes and shutdowns on a specific OS/app version, so technical investigation is needed.",HARD,DEVICE_CONTEXT,,candidate,2026-09-19T13:17:24.482262+00:00,human,FINALIZED
spotify-gold-candidate-065,twcs-eec7524728f05ae27e4f,spotify-intents-v1,spotify-golden-candidates-v1,spotify-temporal-v1,account_access_or_security,ESCALATE,"Unknown devices are showing up on the account, so it may be an unauthorized-access issue that needs a security check.",HARD,ACCOUNT_SPECIFIC|SECURITY,,candidate,2026-09-19T13:28:50.293485+00:00,human,FINALIZED
spotify-gold-candidate-069,twcs-e1c606be9984db1bfad4,spotify-intents-v1,spotify-golden-candidates-v1,spotify-temporal-v1,feature_request_or_product_feedback,AUTO_HANDLE,This is a feature request about choosing which songs from an album get added to the library.,EASY,,,candidate,2026-09-19T14:04:32.602923+00:00,human,FINALIZED
spotify-gold-candidate-070,twcs-d90a673bb63559c90295,spotify-intents-v1,spotify-golden-candidates-v1,spotify-temporal-v1,content_availability_or_metadata,AUTO_HANDLE,They’re just asking when a missing album will be available on Spotify.,EASY,,,candidate,2026-09-19T14:14:05.741218+00:00,human,FINALIZED
spotify-gold-candidate-071,twcs-fc96fef64512329635d5,spotify-intents-v1,spotify-golden-candidates-v1,spotify-temporal-v1,playback_or_app_behavior,ESCALATE,"The iPhone app keeps crashing randomly on the current version, so this looks like a bug that needs fixing.",MEDIUM,DEVICE_CONTEXT,,candidate,2026-09-19T14:25:09.260492+00:00,human,FINALIZED
spotify-gold-candidate-073,twcs-8c659e67ac26f5fa9ef3,spotify-intents-v1,spotify-golden-candidates-v1,spotify-temporal-v1,playback_or_app_behavior,ESCALATE,A Windows 7 update bug is affecting playlist access and likely needs technical investigation.,MEDIUM,DEVICE_CONTEXT,,candidate,2026-09-19T13:20:55.897822+00:00,human,FINALIZED
spotify-gold-candidate-074,twcs-e13c87cf8a7330f80205,spotify-intents-v1,spotify-golden-candidates-v1,spotify-temporal-v1,account_access_or_security,ESCALATE,"Their Premium upgrade is not showing and they can no longer log in, so their account and payment status need to be checked.",MEDIUM,ACCOUNT_SPECIFIC|PAYMENT,,candidate,2026-09-19T13:28:17.575037+00:00,human,FINALIZED
spotify-gold-candidate-075,twcs-503d6ba16809fe3ce442,spotify-intents-v1,spotify-golden-candidates-v1,spotify-temporal-v1,feature_request_or_product_feedback,AUTO_HANDLE,"They’re asking when Spotify will be available in Sri Lanka, so this can be answered with general availability information.",EASY,,,candidate,2026-09-19T13:36:01.015703+00:00,human,FINALIZED
