case_id,thread_id,taxonomy_version,sampling_version,split_version,sampling_bucket,customer_message,conversation_context,challenge_proxies
spotify-gold-candidate-001,twcs-74dd296942104a7177ea,spotify-intents-v1,spotify-golden-candidates-v1,spotify-temporal-v1,REPRESENTATIVE,<mention> hello! Any tips to improve my Discover Weekly? It’s been absolute garbage recently :(,"CUSTOMER: <mention> hello! Any tips to improve my Discover Weekly? It’s been absolute garbage recently :( || SPOTIFY: <mention> Hey there! To keep Discover Weekly fresh, keep listening to more of your favorite tunes. This will mix things up. Hope this helps /JP || CUSTOMER: <mention> Thnx. Do your algorithms know when I’m skipping tracks/ not listening to the whole track? || SPOTIFY: <mention> On the Spotify desktop app, you can now tap the heart or no entry icons to tell us whether you like or don't like the track. This will help our algorithms determine the best tunes for your ears when updating your Discover Weekly. Give us a shout if you have any questions /JZ || CUSTOMER: <mention> Thnx. Mostly listen on iPhone. You used to be able to do that on the iOS app right? No more? :( || SPOTIFY: <mention> We hear you. We're always testing things in order to improve Spotify. Rest assured, we've passed your feedback on to our devs. Give us a shout for anything else /RC",
spotify-gold-candidate-002,twcs-4fa40baf18496b3584d5,spotify-intents-v1,spotify-golden-candidates-v1,spotify-temporal-v1,REPRESENTATIVE,<mention> do you offer discounts on premium for <mention> customers? I hv an iphone. Wanted to try your service with no ads,"CUSTOMER: <mention> do you offer discounts on premium for <mention> customers? I hv an iphone. Wanted to try your service with no ads || SPOTIFY: <mention> Hey! Before anything else, can you fire over your account's email address or username via DM? We'll check things out /AY <url>",
spotify-gold-candidate-003,twcs-80599a8895e776c2c1a6,spotify-intents-v1,spotify-golden-candidates-v1,spotify-temporal-v1,REPRESENTATIVE,"Ah, wonderful. A random person is listening to my <mention> Premium account in France. No idea how I've been hacked, but suppose it can happen on any service.","CUSTOMER: Ah, wonderful. A random person is listening to my <mention> Premium account in France. No idea how I've been hacked, but suppose it can happen on any service. || SPOTIFY: <mention> Hey Paul! We’re sorry to hear that. Check out <url> for what to do next. Feel free to send a tweet our way if you need us again /YM",
spotify-gold-candidate-004,twcs-3a17b8b82582e480101c,spotify-intents-v1,spotify-golden-candidates-v1,spotify-temporal-v1,REPRESENTATIVE,"<mention> Is your restriction about Premium for Family's members having to reside at the same address likely to change? Or should I opt for Google Play Music sub instead, where family members have to reside in the same country?","CUSTOMER: <mention> Is your restriction about Premium for Family's members having to reside at the same address likely to change? Or should I opt for Google Play Music sub instead, where family members have to reside in the same country? || SPOTIFY: <mention> We hear you loud and clear, Kevin! We can’t make any promises but we’ll pass your feedback onto the right folks /MG || CUSTOMER: <mention> Until then it'll have to be Google Play Music then",
spotify-gold-candidate-005,twcs-84bea5560252e299cfc3,spotify-intents-v1,spotify-golden-candidates-v1,spotify-temporal-v1,REPRESENTATIVE,<mention> how can I chat or call you to sort out my account and payments? Thanks!,"CUSTOMER: <mention> how can I chat or call you to sort out my account and payments? Thanks! || SPOTIFY: <mention> Hey Thomas, sorry for the delay! We can help you out here on Twitter, but you can also reach out to us to our Chat Support team at <url> If you prefer to continue here, just DM us your account's email address and we'll take a look backstage /RR <url>",
spotify-gold-candidate-006,twcs-261abdd8655a388cc896,spotify-intents-v1,spotify-golden-candidates-v1,spotify-temporal-v1,REPRESENTATIVE,<mention> pls do something about this <url>,"CUSTOMER: <mention> pls do something about this <url> || SPOTIFY: <mention> Hey Justine, help's here! Can you let us know your iOS and Spotify versions? We'll be waiting for your reply /MG || CUSTOMER: <mention> My iOS is 11.1.2 and the version is 8.4.28 I deleted it and downloaded again and didn’t seem to work || SPOTIFY: <mention> Thanks for letting us know. Everything’s looking good on our end now - are you still having this issue? /YM || CUSTOMER: <mention> No it’s g thanks x || SPOTIFY: <mention> We're glad you're back on track! Feel free to send a message our way if you need us again 🙂 /YM",
spotify-gold-candidate-007,twcs-f1005cc4520a953f37fb,spotify-intents-v1,spotify-golden-candidates-v1,spotify-temporal-v1,REPRESENTATIVE,"<mention> why are the ""suggested"" tracks now an opposite genre of what I'm currently listening to? For example: left pic is what I'm trying to listen to &amp; right is the suggested track. <url>","CUSTOMER: <mention> why are the ""suggested"" tracks now an opposite genre of what I'm currently listening to? For example: left pic is what I'm trying to listen to &amp; right is the suggested track. <url> || SPOTIFY: <mention> Hey Amie! We hear you 🎧 Rest assured, your feedback will be passed on to the right folks /AQ",
spotify-gold-candidate-008,twcs-9686a2e3c6746d660a17,spotify-intents-v1,spotify-golden-candidates-v1,spotify-temporal-v1,REPRESENTATIVE,<mention> hey guys I got an idea for a feature! Can you put on their to show us how many times we have listened to a certain song? It could really help when it comes to clearing up playlists and more. Thanks!,"CUSTOMER: <mention> hey guys I got an idea for a feature! Can you put on their to show us how many times we have listened to a certain song? It could really help when it comes to clearing up playlists and more. Thanks! || SPOTIFY: <mention> Hey there, we can see how that’d be handy! You might want to add your vote here to support the idea: <url> Let us know if you need anything else. We're always here for you 🙂 /KC",
spotify-gold-candidate-009,twcs-0ce8f4e7367a451189f6,spotify-intents-v1,spotify-golden-candidates-v1,spotify-temporal-v1,REPRESENTATIVE,<mention> is your website down? I can't get it to load. Thanks.,CUSTOMER: <mention> is your website down? I can't get it to load. Thanks. || SPOTIFY: <mention> Hi Hannah! Everything's up and running on our end. Are you getting any specific error messages? We'll do our best to help out /NJ,
spotify-gold-candidate-010,twcs-039c8f520763acfe386a,spotify-intents-v1,spotify-golden-candidates-v1,spotify-temporal-v1,REPRESENTATIVE,<mention> I have a free account w/ a long account name given by Spotify. On this account I have created multiple playlists. I want to purchase premium but am unable to access this free account (error mentions CRFA?). How do I get a new account and keep my playlists/history?,"CUSTOMER: <mention> I have a free account w/ a long account name given by Spotify. On this account I have created multiple playlists. I want to purchase premium but am unable to access this free account (error mentions CRFA?). How do I get a new account and keep my playlists/history? || SPOTIFY: <mention> Hi there! Can you DM us your account's email address or username, along with a screenshot of the error message you're getting? We'll take a look backstage /NQ <url>",
