case_id,thread_id,customer_message,conversation_context,candidate_type,timestamp,taxonomy_version,split_version,sampling_version
spotify-gold-candidate-046,twcs-524c1b5b3b88584539d6,<mention> how am I suppose to complete my perfect Christmas playlist when you don’t have That Spirit of Christmas by Ray Charles?!? #frustrated #christmasvacation <mention> #spotifydoesntcare,"CUSTOMER: <mention> how am I suppose to complete my perfect Christmas playlist when you don’t have That Spirit of Christmas by Ray Charles?!? #frustrated #christmasvacation <mention> #spotifydoesntcare || SPOTIFY: <mention> Hey Jamie! We’d love to have all of his stuff available, but we have some info about content here: <url> 🙂 /JI || CUSTOMER: <mention> <mention> thank you for answering! Makes sense. Happy Holidays! || SPOTIFY: <mention> You're welcome! Let us know if you ever need us again. We'd be happy to help. Have a... <url> /AN",REPRESENTATIVE,2017-11-29T21:23:03+00:00,spotify-intents-v1,spotify-temporal-v1,spotify-golden-candidates-v1
spotify-gold-candidate-235,twcs-c6fb8f3582bd3e2758cc,"Hey <mention>, I'm trying to login to the web player and I'm getting this error message: ""Oops! Something went wrong, please try again or check out our help area."" Any idea what's up? Thanks!","CUSTOMER: Hey <mention>, I'm trying to login to the web player and I'm getting this error message: ""Oops! Something went wrong, please try again or check out our help area."" Any idea what's up? Thanks! || SPOTIFY: <mention> Hey Meg! What device, operating sysmte, and Spotify version are you using? Can you DM us your account's email address? We'll see what we can suggest /KC <url>",REPRESENTATIVE,2017-11-27T20:20:51+00:00,spotify-intents-v1,spotify-temporal-v1,spotify-golden-candidates-v1
spotify-gold-candidate-082,twcs-5e7a2d9f9d0a8434645b,"helpppp nothing's loading :'(( i've tried turning my phone on and off, updating the app, using 4g instead of wifi and nothing's working. <mention> <url>","CUSTOMER: helpppp nothing's loading :'(( i've tried turning my phone on and off, updating the app, using 4g instead of wifi and nothing's working. <mention> <url> || SPOTIFY: <mention> Hey! We’re looking into this as we tweet. Thanks for bearing with us /CP",REPRESENTATIVE,2017-11-28T20:32:41+00:00,spotify-intents-v1,spotify-temporal-v1,spotify-golden-candidates-v1
spotify-gold-candidate-163,twcs-43804b1475c567e82505,<mention> I have a problem with your app on Android. DM?,CUSTOMER: <mention> I have a problem with your app on Android. DM? || SPOTIFY: <mention> Hi there! Help's here. What's happening exactly? Can you DM us your account's email address or username? We'll take a look backstage /NQ <url>,REPRESENTATIVE,2017-12-02T15:19:54+00:00,spotify-intents-v1,spotify-temporal-v1,spotify-golden-candidates-v1
spotify-gold-candidate-145,twcs-db8aa979e3a32b7b4188,Where are my top songs in 2017 wrapped <mention>,"CUSTOMER: Where are my top songs in 2017 wrapped <mention> || SPOTIFY: <mention> Hey Chelsea! We don't have news to share about this right now, but we'll let the right team know it's something you'd like to see soon /AR",REPRESENTATIVE,2017-11-30T23:01:52+00:00,spotify-intents-v1,spotify-temporal-v1,spotify-golden-candidates-v1
spotify-gold-candidate-190,twcs-91f195157610a7b14ef2,<mention> <mention> this sh*t #FirefoxWebplayer #mozilla is draining my bat 4 life taking over my music by yoga on the background pls fix t #ASAP. wonder if they have these issues <mention> <mention> <url>,CUSTOMER: <mention> <mention> this sh*t #FirefoxWebplayer #mozilla is draining my bat 4 life taking over my music by yoga on the background pls fix t #ASAP. wonder if they have these issues <mention> <mention> <url> || SPOTIFY: <mention> Hey Ray! Can you also let us know the make and model of your device and the operating system? We'll see what we can suggest /MS || CUSTOMER: <mention> Currently on samsung SM-N9005 aka note 3 on 4.4 || CUSTOMER: <mention> Already disconnected all apps/changed Facebook pswrd still no response || SPOTIFY: <mention> Got it. Do you also get the same issue when you're streaming music straight from the Spotify app? Could you also let us know the exact Android and Spotify version you're using? /KB,REPRESENTATIVE,2017-11-26T01:10:37+00:00,spotify-intents-v1,spotify-temporal-v1,spotify-golden-candidates-v1
spotify-gold-candidate-226,twcs-10e3c872509cbeb2052e,"Hey, <mention>, wasting money on targeting me (existing subscriber) with ads may not be smart, but featuring Charles Manson in said ads is outright stupid, wouldn't you agree?","CUSTOMER: Hey, <mention>, wasting money on targeting me (existing subscriber) with ads may not be smart, but featuring Charles Manson in said ads is outright stupid, wouldn't you agree? || SPOTIFY: <mention> Hey there, we're here to help. Could you give us a little more info? Was this an audio ad in between songs, or something you saw on our application? Let us know, we'll do some digging /TB || CUSTOMER: <mention> ad on instagram stories, for spotify, showing a manson photo and a title suggesting ""cult"" playlists. was too surprised on how low did you go to take a screenshot. || SPOTIFY: <mention> Got it, thanks for alerting us. We'll get this reported to our ad team. Let us know if you encounter the ad again, we'd love a screenshot if possible /TB",REPRESENTATIVE,2017-11-27T19:59:11+00:00,spotify-intents-v1,spotify-temporal-v1,spotify-golden-candidates-v1
spotify-gold-candidate-154,twcs-005fb46ab07acac85068,"Hey <mention> &amp; <mention>, When are you going to fix the web player to work correctly with Firefox's ""media.autoplay.disabled"" set FALSE? I have quite a backlog of music to get to!","CUSTOMER: Hey <mention> &amp; <mention>, When are you going to fix the web player to work correctly with Firefox's ""media.autoplay.disabled"" set FALSE? I have quite a backlog of music to get to! || SPOTIFY: <mention> Hey Michele, help's here! Can you tell us what's happening exactly? We'll see what we can suggest /RH || CUSTOMER: <mention> A song page loads, such as <mention>'s Wolves (<url> and then... nothing. The main button even says ""Pause"". No sound, no time ticking to show it's attempting to play. || SPOTIFY: <mention> Thanks. Can you try clearing your browser's cache/cookies? Let us know if that makes a difference /RH || CUSTOMER: <mention> Nope, no change in the web site's (lack of) behavior. || SPOTIFY: <mention> Does logging in using a different browser help at all? We'll be waiting for your reply /MG",REPRESENTATIVE,2017-11-30T23:02:05+00:00,spotify-intents-v1,spotify-temporal-v1,spotify-golden-candidates-v1
spotify-gold-candidate-100,twcs-5db2d7cf39459b6aef4d,<mention> <mention> why is alll my downloaded music getting totally wiped out after every single app update? This has been the third time this has happened since going premium a month ago,CUSTOMER: <mention> <mention> why is alll my downloaded music getting totally wiped out after every single app update? This has been the third time this has happened since going premium a month ago || SPOTIFY: <mention> Hey there! We've just sent a DM your way. Let's carry on chatting there /MG,REPRESENTATIVE,2017-11-29T04:24:31+00:00,spotify-intents-v1,spotify-temporal-v1,spotify-golden-candidates-v1
spotify-gold-candidate-109,twcs-c1f4e320782aea766ba2,Hello <mention> and <mention> . Is an app being developed for #AppleWatchSeries3 ? 🙂,"SPOTIFY: <mention> Hey Shaine! We can see how that’d be useful. You can vote for the official idea here:<url> /MX || CUSTOMER: <mention> <mention> Useful? I think you mean essential? I only listen to music via Watch now, which means I can only just listen to <mention> , so why do I still need your Premium service, if I can't use it? Why you've failed to see this is a bit of an oversight. || CUSTOMER: <mention> <mention> <mention> Well said. I found it quiet amusing that I need to vote on this and get it across the line for the devs to consider porting. I’m switching over till it’s ‘fixed’ to <mention> || SPOTIFY: <mention> We're sorry you feel that way. We appreciate the feedback though. We'll be sure to pass it on to the right team /AR || CUSTOMER: <mention> <mention> How else are your premium members supposed to feel if we cannot use the service at all on our device of choice when at the gym, etc? || SPOTIFY: <mention> We understand, and we hear you. Rest assured, your feedback will be passed on to the right folks /QI",REPRESENTATIVE,2017-11-29T13:57:42+00:00,spotify-intents-v1,spotify-temporal-v1,spotify-golden-candidates-v1
